sample_id,situation,included,exclusion_reason,emotion_correct,emotion_label_f1,joint_labels_exact,positive_labels_exact,negative_labels_exact,positive_labels_f1,negative_labels_f1,appraisal_dimensions_evaluated,appraisal_coverage,appraisal_reasoning_bleu,appraisal_reasoning_rouge_1,appraisal_reasoning_rouge_2,appraisal_reasoning_rouge_l,appraisal_reasoning_bertscore,low_appraisal_score,gold_positive_labels,predicted_positive_labels,gold_negative_labels,predicted_negative_labels
55d51a6b8ce09000127d4821_20260228_162502_69a314f1,"Someone I had been close with and talking to often just stopped responding to me. I really wanted them to reply or at least have someone around to keep me company and help me feel like I'm not inferior. I started to accept the situation, even though it still doesn't feel good. I realized that if someone doesn't want to talk to me anymore, there's no point in pursuing it. This person had been someone I talked to for a long time and had helped me through some stressful situations, so it was important to me.",True,,False,0.46153846153846156,False,False,False,0.0,0.6,5,1.0,0.0,0.18668211660109427,0.03676767676767677,0.1474476668403287,0.8744588851928711,True,[],"[""Grateful, appreciative, thankful"", ""Love, closeness, trust"", ""Sympathy, concern, compassion""]","[""Confused, disoriented, surprised"", ""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]","[""Ashamed, humiliated, embarrassed"", ""Confused, disoriented, surprised"", ""Despair, hopelessness, sorrow"", ""Guilty, blameworthy, repentant"", ""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy""]"
577a0a7aadbc7500015d2479_20260306_185456_69ab207b,"I finished my most recent university assignment, proofread it, and handed it in early. I'm doing a BSc in Public Health and Wellbeing with the Open University, and I was trying to achieve handing in a completed assignment. To do this, I needed peace and quiet. Once I had handed in my assignment early, I felt very good and treated myself to a new TV since my current one has been broken for a bit. I felt good that I managed to hand it in, rather than go over it every day for days. One thing that has stuck with me is something a lecturer said: you get 80% of the mark in 20% of the time, and 20% of the mark in the other 80%, so I try to remember that. I felt I relied on myself well. On a previous degree, we were encouraged to get friends to proofread it for you, but my current university discourages this.",True,,True,0.6666666666666666,False,False,True,0.6666666666666666,1.0,5,1.0,0.0,0.2206489446898654,0.03849271600978375,0.17335695279429295,0.8705068588256836,True,"[""Calm, peaceful, relaxed"", ""Glad, happy, joyful"", ""Hopeful, optimistic, encouraged"", ""Proud, confident, determined""]","[""Glad, happy, joyful"", ""Proud, confident, determined""]",[],[]
57b70477bd0fc200012ad60a_20260227_154747_69a1bb8a,"I developed Bell's palsy, and the right side of my face drooped. I was prescribed steroids, which helped improve the situation, but I felt mortified and embarrassed. It was especially hard for me because my husband didn't see me at my best, and that added to my feelings of embarrassment.",True,,True,0.6153846153846153,False,True,False,1.0,0.6153846153846153,5,1.0,0.0,0.18109189996667313,0.042987012987013,0.15275285311582953,0.8700596570968628,True,[],[],"[""Angry, frustrated, annoyed"", ""Ashamed, humiliated, embarrassed"", ""Confused, disoriented, surprised"", ""Despair, hopelessness, sorrow"", ""Disgust, distaste, revulsion"", ""Lonely, isolated, disconnected from others"", ""Panicked, alarmed, freaked out"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]","[""Ashamed, humiliated, embarrassed"", ""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]"
57d5ab3a722df500017f3622_20260301_200421_69a49a2d,"I've been thinking a lot more about my dad who died recently, especially over the past week. I find myself thinking about him when I have some time to fill or during moments when I would have normally reached out to him for an update. These thoughts make me feel sad and really make me realize how much I miss him. I've also been contemplating visiting his grave and wondering how I'll feel knowing he's there, under the ground.",True,,False,0.5,False,False,False,0.5,0.5,5,1.0,0.0,0.12869802965912805,0.009523809523809525,0.10869802965912805,0.8657836079597473,True,"[""Calm, peaceful, relaxed"", ""Sympathy, concern, compassion""]","[""Love, closeness, trust"", ""Sympathy, concern, compassion""]","[""Sad, downhearted, unhappy""]","[""Despair, hopelessness, sorrow"", ""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy""]"
57fa9d61bd8a970001fde2c6_20260301_180805_69a47e3e,"My friend was talking about the anniversary of the death of her husband, who was also my friend. It was nice to recall good memories rather than dwelling on their actual death. There was a slight feeling of sadness that they were no longer here, but it was also uplifting to reminisce and share our feelings. It was important to me that my friend felt comfortable talking about it with me.",True,,True,0.6,False,False,False,0.7499999999999999,0.0,5,1.0,0.0,0.24029863352470443,0.05421357093089616,0.16632465368886767,0.8793277502059936,True,"[""Calm, peaceful, relaxed"", ""Grateful, appreciative, thankful"", ""Hopeful, optimistic, encouraged"", ""Love, closeness, trust"", ""Sympathy, concern, compassion""]","[""Calm, peaceful, relaxed"", ""Love, closeness, trust"", ""Sympathy, concern, compassion""]",[],"[""Despair, hopelessness, sorrow"", ""Sad, downhearted, unhappy""]"
58f63e3a5129080001111304_20260306_175958_69ab11b4,"I was standing with a can of Pepsi, ready to drink it, when it suddenly dropped. I managed to catch it, but it fizzed up and went everywhere, including all over my laptop. I needed to drink the Pepsi, but instead, I was left feeling very upset and angry. I was so annoyed and upset that I nearly burst into tears at the thought that I might have broken the laptop. To make things worse, I had to spend a long time cleaning up afterward, which just added to my frustration.",True,,True,0.75,False,True,False,1.0,0.75,5,1.0,0.0,0.20247619608701264,0.053683997162258024,0.1644154645480202,0.8798019409179687,True,[],[],"[""Angry, frustrated, annoyed"", ""Disgust, distaste, revulsion"", ""Panicked, alarmed, freaked out"", ""Sad, downhearted, unhappy""]","[""Angry, frustrated, annoyed"", ""Panicked, alarmed, freaked out"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]"
590b3401182caf0001ab5801_20260302_153058_69a5a7be,"I was watching Bridgerton, a modern period drama on Netflix, and it made me really emotional. The story was about a maid who attended a Masquerade ball and fell for a gentleman. This gentleman was highly sought after by many young ladies and gents, but he was insistent on remaining a bachelor. When he caught sight of the maid, he was hooked line and sinker, but in true Cinderella style, she ran away at the stroke of midnight, leaving him with only a glove. He became obsessed with finding her, and it was all he thought about. He met her several times without realizing who she was, but she was a maid and he a gentleman; their relationship was not allowed. He ended up falling for her as the maid, giving up on his masked lady. It was gut-wrenching to see them so in love but society not willing to accept them. When they finally admitted their feelings and the relationship became more, he spoiled it by asking her to be his mistress. This tore at my heartstrings and made me cry for her. It's unusual for a fictitious story or drama to make me so emotional, but this one really got me. She made me cry, he made me angry. I wanted him to tell her they could be together, that he would run away with her, but no, he wanted to marry a lady and have her be his mistress away from everything like a dirty secret. It made me feel hopeless, that love wasn't enough and that society hierarchy was the reason. He went after her but didn't; he left it and sent a message via a note to ask of her answer, which was clearly a no.",True,,False,0.36363636363636365,False,False,False,0.2857142857142857,0.5,5,1.0,0.0,0.15400325137167242,0.006557377049180328,0.1091907697170855,0.8704344868659973,True,"[""Amused, entertained"", ""Excited, enthusiastic, elated"", ""Glad, happy, joyful"", ""Hopeful, optimistic, encouraged"", ""Love, closeness, trust"", ""Sympathy, concern, compassion""]","[""Sympathy, concern, compassion""]","[""Sad, downhearted, unhappy""]","[""Angry, frustrated, annoyed"", ""Despair, hopelessness, sorrow"", ""Sad, downhearted, unhappy""]"
59d3ef2c078dbe000195117f_20260220_140353_699866d7,"My husband was leaving for a month to travel for business, and I was really upset and sad about not being able to see him for that long. I wanted comfort during this time, but the thought of being apart for a whole month left me feeling very sad.",True,,True,0.8,False,False,True,0.0,1.0,5,1.0,0.0,0.21020088214457117,0.0,0.1498738741483902,0.87231285572052,True,[],"[""Love, closeness, trust""]","[""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy""]","[""Lonely, isolated, disconnected from others"", ""Sad, downhearted, unhappy""]"
59e7c8eabbb1380001621d28_20260226_184843_69a0946b,"My dad had to have a hospital procedure, and I was trying to stay calm and keep him calm too. The whole situation left me feeling very stressed.",True,,False,0.3636363636363636,False,False,False,0.0,0.5,5,1.0,0.0,0.14839710177060828,0.00909090909090909,0.10993876595903389,0.8899443507194519,True,[],"[""Love, closeness, trust"", ""Proud, confident, determined"", ""Sympathy, concern, compassion""]","[""Confused, disoriented, surprised"", ""Despair, hopelessness, sorrow"", ""Lonely, isolated, disconnected from others"", ""Panicked, alarmed, freaked out"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]","[""Panicked, alarmed, freaked out"", ""Worried, nervous, fearful""]"
59fc8a30087f2e0001ead66d_20260303_162019_69a70805,"I recently received a letter from the hospital, and I was shocked because it used words like 'urgent.' I only read the letter online and didn't get my physical copy, which made me panic. I needed an explanation because it was quite scary. The whole situation left me feeling disregarded and unimportant. It was important for me to express my emotions and upset, so I found the right person to speak to. They conducted investigations for me and then explained everything in a phone call.",True,,True,0.6666666666666666,False,False,False,0.0,0.8000000000000002,5,1.0,0.0,0.22155131143366438,0.00547945205479452,0.1398054494525083,0.8782493948936463,True,[],"[""Grateful, appreciative, thankful"", ""Love, closeness, trust""]","[""Angry, frustrated, annoyed"", ""Confused, disoriented, surprised"", ""Panicked, alarmed, freaked out"", ""Sad, downhearted, unhappy"", ""Worried, nervous, fearful""]","[""Angry, frustrated, annoyed"", ""Confused, disoriented, surprised"", ""Disgust, distaste, revulsion"", ""Panicked, alarmed, freaked out"", ""Worried, nervous, fearful""]"
