sample_id,situation,dimension,bleu,rouge_1_f1,rouge_2_f1,rouge_l_f1,bertscore_f1,below_threshold,gold_appraisal,predicted_appraisal
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",relevance,0.0,0.0,0.0,0.0,0.8606987595558167,True,Not much but over time the significance grew.,"It mattered deeply. Witnessing their struggle and eventual triumph felt like my own victory. Their relief mirrored my own, proving that supporting others through hardship brings profound joy."
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",congruence,0.0,0.0,0.0,0.0,0.8513925075531006,True,In none.,"It hurt me watching their stress, but their triumph healed me. Supporting them brought me joy, and seeing their pride made my own heart feel full and light."
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",accountability,0.0,0.0,0.0,0.0,0.8673717379570007,True,They were.,"I felt it was our shared resilience. Their hard work drove the success, while my support helped carry the weight. Together, we turned stress into triumph."
663b34f2cf27da2a623b94f9_20260227_153742_69a1b5ea,"It was my granddaughter's 18th birthday last Sunday, and we had a precelebration at my house on Friday. Then, on Sunday, we all met up in Exeter for an Escape Room experience and a meal. I wanted to enjoy the celebration with my whole family, especially with my granddaughter. My family is very important to me, and we don't meet up enough, so I was really hoping for a drama-free gathering, which usually isn't the case when we all get together. This time, it left me feeling really good and appreciative of the special connection we have. I wanted my family to appreciate me, and I certainly think they do. My granddaughter asked me to voice record a special message for her to be inserted in a bear that I had given her 16 years ago, which was being revamped at the shop called Build a Bear. I felt special that she asked me to do that.",accountability,0.0,0.0,0.0,0.0,0.8462885618209839,True,We were all responsible.,"My granddaughter. Her request to record a message for her bear made me feel cherished, and her presence turned a usual chaotic gathering into a perfect, drama-free celebration I'll always treasure."
669677d986a5a20026bbf20e_20260228_134651_69a2ef80,"My daughter, who has had her struggles with mental health, made me feel very proud this week. She managed the demands of her new job while also looking after her boyfriend, who is ill. I was just observing how proud I was of her development. I felt very proud of her and wanted to convey this to her without being patronizing. It's important that she knows how proud I am of her, especially since she often feels her brother is 'more impressive.'",congruence,0.0,0.0,0.0,0.0,0.8758001327514648,True,It helped me feel validated that all of our hard work in the past is paying off.,"Seeing her strength healed my heart. Her pride outweighs my brother's shadow. I felt a quiet joy, knowing she shines brightly despite her struggles."
669677d986a5a20026bbf20e_20260228_134651_69a2ef80,"My daughter, who has had her struggles with mental health, made me feel very proud this week. She managed the demands of her new job while also looking after her boyfriend, who is ill. I was just observing how proud I was of her development. I felt very proud of her and wanted to convey this to her without being patronizing. It's important that she knows how proud I am of her, especially since she often feels her brother is 'more impressive.'",accountability,0.0,0.0,0.0,0.0,0.8727530241012573,True,My daughter.,"I felt it was entirely her own resilience and hard work. Her strength in balancing her job and caring for her boyfriend moved me deeply, proving her incredible growth."
5e6ce118673e50000c303890_20260227_200304_69a1f5eb,"I went away for a few days with my family, and it was an emotionally positive experience. I wanted to escape from work and other commitments that have been emotionally draining. For those few days, I felt like there was nothing to worry about, just enjoy the moment. The clean, clear air and the area we were at was quiet and isolated. We were the only people for miles.",certainty,0.0,0.0816326530612245,0.0,0.04081632653061225,0.8689588308334351,True,"Things went well with us not putting any pressure on ourselves to be everywhere, just go with the flow.","Yes, everything unfolded exactly as I hoped. The isolation was perfect, and the silence allowed me to finally breathe. No unexpected events occurred; only pure, unburdened joy filled those days."
60e25008f1ecf0be303353bb_20260228_165505_69a31c2f,My first son moved out of the house and into his own place. I'm really excited for him because it's a great opportunity for growth. I'm feeling proud of him. I also need to make sure his mom and my other son are okay with the change and adapt well.,control,0.0,0.0425531914893617,0.0,0.0425531914893617,0.8634156584739685,True,"No too much, he is old enough to make this decision himself, but he did consistently look for guidance which felt good.","Yes, I felt in control. I guided the transition with pride, ensuring my wife and other son adapted well while celebrating my son's growth."
5ff07b5ee7a1d23e719e421e_20260227_145116_69a1ad7e,"I went and sat with my baby brother, who is 64, while he had his chemo treatment. I'm very sad that he has to go through this, and it doesn't look like his chances are very good, but he's a fighter. I sat with him for 2 hours, and he and all the other chemo patients in the room were talking and having a good time joking about their situation. It was uplifting, but also sad. I was trying to give him moral support. It left me feeling sad for all the people that have to go through this type of thing. It also made me feel glad that I could be there for him, especially since his wife died a few years ago and I didn't want him to be alone. Just being there to support him was important to me.",certainty,0.0,0.04545454545454545,0.0,0.04545454545454545,0.8710907101631165,True,"Yes, things went smooth and he did okay. He was quick sick afterwards and remains very tired.","No, the laughter was unexpected. I feared silence, but his jokes brought light. It was bittersweet, yet knowing I wasn't alone with him gave me strength."
5fdbae0584b3a90525410347_20260302_161620_69a5b646,"I had a fantastic day on Saturday. The weather was nice, so I decided to get out of the house and run some errands. I needed to pick up a few groceries and drop off some recycling. Everyone I met was friendly and happy, which made the experience even better. I came home feeling happy and content, having accomplished everything without feeling anxious.",congruence,0.0,0.046511627906976744,0.0,0.046511627906976744,0.8756651282310486,True,The experience helped me realize that everything is not always difficult.,"This sunny day lifted my spirits and eased my mind. Running errands without stress made me feel accomplished and deeply content, leaving me with a warm, peaceful heart as I returned home."
