sample_id,situation,dimension,bleu,rouge_1_f1,rouge_2_f1,rouge_l_f1,bertscore_f1,below_threshold,gold_appraisal,predicted_appraisal
5b51c33d026602000178b5ec_20260228_144002_69a2fa65,"My daughter was accepted back into high school this week after being homeschooled for approximately six months. We tried to get her into the school of her choice because she was missing the social aspect of friends and sports, and we finally received our offer this week. I was elated and nervous for her, with my emotions being up and down. It was definitely what she wants.",certainty,0.0,0.0,0.0,0.0,0.8403060436248779,True,So far yes.,"Things went better than expected. We had tried to get her into the school of her choice, and while there were uncertainties, we finally received an offer this week, which was a positive surprise."
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",congruence,0.0,0.0,0.0,0.0,0.846895158290863,True,In none.,"The situation helped me by allowing me to be supportive and show care for someone I know. It hurt me slightly because I felt their stress, but ultimately, it was rewarding to see them succeed and feel proud."
615567110b3d6e418c6add32_20260308_143932_69ad81da,"Last week, I had a disagreement with a friend about a small issue. At first, it made me feel upset and stressed, but later we talked and understood each other better. I really wanted to solve the problem and understand each other. In the end, the situation improved and we felt okay again. I felt better and more relieved after we talked and understood each other.",certainty,0.0,0.0,0.0,0.0,0.8758242130279541,True,Yes.,"Things did not go as I initially expected because the disagreement caused stress. However, after we talked and understood each other, the situation improved, which was better than I anticipated."
6533d0faaaf6d193fc2bf4f1_20260228_184753_69a336c1,I couldn't stop crying while remembering my brother. I was hoping he is at peace. The whole situation left me feeling sad and emotional. Listening to music and looking at pictures were significant aspects of this experience for me.,accountability,0.0,0.0,0.0,0.0,0.8388090133666992,True,I don’t know.,No one was specifically responsible for this; it was more about the natural process of grief and memory.
5e94b43203807b339eef4947_20260306_164804_69ab0342,"I was trying to be nice to my daughter and connect with her by engaging in a conversation, asking what she wanted for dinner. Instead of responding, she was remote and rude to me, and then I got a page full of error messages. This situation left me feeling frustrated and a bit sad. It's important to me because this keeps happening, although there are other times when she's lovely and excitable.",congruence,0.0,0.03333333333333333,0.0,0.03333333333333333,0.8730363249778748,True,"She's evasive answering questions which is frustrating. I'm also stuck not knowing what to do for dinner, so not knowing if she'll eat what I make or complain about it.",The situation hurt me by making me feel frustrated and a bit sad. It obstructs my goal of connecting with my daughter and maintaining a positive relationship.
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",relevance,0.0,0.03636363636363636,0.0,0.03636363636363636,0.8484954237937927,True,Not much but over time the significance grew.,The event mattered a lot to me because I care about this person and their well-being. Seeing them struggle with stress and tight deadlines made it important for me to offer support. It mattered because their success and relief were significant to me as a friend.
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",certainty,0.0,0.04081632653061224,0.0,0.04081632653061224,0.8600195050239563,True,"Yes, I knew they could do it.","Things did not go as expected at first due to unexpected problems and tight deadlines. However, in the end, the project was successful, which was better than I anticipated. The team's appreciation and the person's relief were unexpected positive outcomes."
66a35864d80b66f563731c3e_20260308_135112_69ad7c41,"My friend's son was rushed to the hospital with a brain bleed, and it was a really intense situation. I had her puppy with me so she could go back and forth to the hospital without worrying about her pet. I wanted to be as supportive as I could, and having the puppy was one way I could help her concentrate on her son. At first, I was really worried and upset because I thought it might be fatal. I was also trying to think ahead about how I could support my friend if the worst was to happen.",certainty,0.0,0.0425531914893617,0.0,0.0425531914893617,0.8642510175704956,True,It was very unexpected that he is being discharged tomorrow.,"Things did not go as I expected initially because I thought it might be fatal. However, the situation evolved, and I had to think ahead about how to support my friend if the worst were to happen."
5cfebb94eafc4d001a62cbc9_20260221_200507_699a0ef8,My young son fell and cut his head. I immediately wanted to provide first aid to make sure he was okay and check that it wasn't a serious injury. The situation left me feeling guilty and worried.,certainty,0.0,0.08888888888888889,0.0,0.044444444444444446,0.8628134727478027,True,He fell unexpectedly when he was walking.,"Things went as expected in the sense that I provided first aid and checked for serious injury. However, the situation was unexpected in that my son fell and got hurt, which is always a surprise and a worry."
5f4a7a00dc1bde60ab8f7ac5_20260227_182021_69a1df78,"I'm feeling really frustrated because I don't have enough money to pay down my credit card debt. It's like I'm being drowned in bills and I just can't manage my debt adequately with my current income. This whole situation leaves me feeling like I'm sinking. On top of that, it's important for me to handle this without stressing out my elderly mom, who's prone to anxiety.",accountability,0.0,0.11428571428571428,0.0,0.05714285714285714,0.8827316761016846,True,Ultimately it's on me for not making enough money from my job to take care of my family.,I feel like the system and my own financial mismanagement are most responsible for this situation.
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",accountability,0.0,0.058823529411764705,0.0,0.058823529411764705,0.854407548904419,True,They were.,"The person working on the project was most responsible for managing their stress and completing the work. However, the tight deadlines and unexpected problems were external factors that contributed to the situation."
671a35e007e5342c31f94fa7_20260307_163918_69ac527e,"Sometimes when I'm alone, I find myself getting emotional. In those moments, I really need comfort. Being by myself can leave me feeling sad and lonely.",congruence,0.0,0.11764705882352941,0.0,0.058823529411764705,0.8985878229141235,True,The situation hurt me because I felt very alone.,"Being alone hurts me by making me feel isolated and sad. It doesn't help me in any way; instead, it amplifies feelings of loneliness."
66a35864d80b66f563731c3e_20260308_135112_69ad7c41,"My friend's son was rushed to the hospital with a brain bleed, and it was a really intense situation. I had her puppy with me so she could go back and forth to the hospital without worrying about her pet. I wanted to be as supportive as I could, and having the puppy was one way I could help her concentrate on her son. At first, I was really worried and upset because I thought it might be fatal. I was also trying to think ahead about how I could support my friend if the worst was to happen.",accountability,0.0,0.0625,0.0,0.0625,0.8555124998092651,True,"Drink... he was drunk, which is why he fell.",No one was specifically responsible for this; it was just a tragic and unexpected medical situation that happened to my friend's son.
5eb0598b718c920e386736cd_20260305_204627_69a9e9e4,"Scenario: I recently received a pay raise at my job. I felt the urge to share the news with someone because it made me happy. The raise brought a sense of relief, especially with the rising costs of living, as it will be a significant help. However, it also made me feel like I need to demonstrate my value even more at work.",certainty,0.0,0.06451612903225806,0.0,0.06451612903225806,0.8802311420440674,True,"Yes, all went well.","Things went better than I expected. I had hoped for a raise, but the amount and timing were more than I anticipated, which was a pleasant surprise."
663b34f2cf27da2a623b94f9_20260227_153742_69a1b5ea,"It was my granddaughter's 18th birthday last Sunday, and we had a precelebration at my house on Friday. Then, on Sunday, we all met up in Exeter for an Escape Room experience and a meal. I wanted to enjoy the celebration with my whole family, especially with my granddaughter. My family is very important to me, and we don't meet up enough, so I was really hoping for a drama-free gathering, which usually isn't the case when we all get together. This time, it left me feeling really good and appreciative of the special connection we have. I wanted my family to appreciate me, and I certainly think they do. My granddaughter asked me to voice record a special message for her to be inserted in a bear that I had given her 16 years ago, which was being revamped at the shop called Build a Bear. I felt special that she asked me to do that.",accountability,0.0,0.06451612903225806,0.0,0.06451612903225806,0.8703324794769287,True,We were all responsible.,"My granddaughter was most responsible for this, as she asked me to record the message and organized the celebration. Her actions made the day special for me."
655fb104e3d55d460e274ddf_20260228_215919_69a362e2,"One of my roommates ate my food, and this time it was my entire box of Quaker oatmeal. I wanted to take that particular food to work because it's easy to just heat up and go. I was upset and ended up being hangry since I didn't have money to buy food. I have a lot of roommates, and I was frustrated because they could have just asked for some instead of stealing.",accountability,0.0,0.07142857142857144,0.0,0.07142857142857144,0.8780815005302429,True,My roommates.,"My roommate was most responsible for all of this because they chose to take my food without asking, showing a lack of respect for my belongings."
57fa9d61bd8a970001fde2c6_20260301_180805_69a47e3e,"My friend was talking about the anniversary of the death of her husband, who was also my friend. It was nice to recall good memories rather than dwelling on their actual death. There was a slight feeling of sadness that they were no longer here, but it was also uplifting to reminisce and share our feelings. It was important to me that my friend felt comfortable talking about it with me.",congruence,0.0,0.18181818181818185,0.0,0.07272727272727271,0.8755564093589783,True,I felt reassured that we could describe the death of a loved one without it badly affecting my friend's emotions.,"The situation helped by allowing us to share feelings and reminisce about positive memories. It was uplifting in that sense, though there was a slight feeling of sadness that they were no longer here."
6998a1adb8b4527a8d7ff3a2_20260307_194636_69ac7d0a,"It was my last working day at the company because I was switching jobs. I was taken by surprise when my team organized a farewell call in one of our conference rooms. Each member shared their memories of me, which was emotionally overwhelming. It was positive because I felt validated, but also negative because I didn't expect to feel such sadness—I even got teary at certain points. I was trying to maintain a balanced sentiment and not show too much emotion since no one before in the team had cried at farewells. I felt positive about the effort my team made, especially since I was one of the shorter-serving members. But I also felt confused, wondering if switching jobs for financial reasons was enough to justify leaving a team I really enjoyed working with. I realized that even though I thought I had surface-level connections with most of my team, I subconsciously developed a liking for them. This was my first job where I worked in an office instead of from home, and I discovered that I truly value human connections.",accountability,0.0,0.1090909090909091,0.0,0.07272727272727274,0.8709164261817932,True,"It was my manager who planned it all, so naturally made me respect her even more.","My team was most responsible for organizing the farewell call and sharing their memories of me. They showed care and appreciation, which was unexpected and impactful. I felt that their effort was the primary driver of the emotional experience."
66a35864d80b66f563731c3e_20260308_135112_69ad7c41,"My friend's son was rushed to the hospital with a brain bleed, and it was a really intense situation. I had her puppy with me so she could go back and forth to the hospital without worrying about her pet. I wanted to be as supportive as I could, and having the puppy was one way I could help her concentrate on her son. At first, I was really worried and upset because I thought it might be fatal. I was also trying to think ahead about how I could support my friend if the worst was to happen.",congruence,0.0,0.12499999999999999,0.0,0.075,0.8594827055931091,True,"I've known him since he was born, so it hurt a lot.","The situation hurt me by causing worry and upset, as I feared the worst for my friend's son. It also required me to think ahead about how to provide support, which added to the emotional burden. On the other hand, being able to help by taking care of her puppy allowed her to focus on her son, which was a small but meaningful way to assist."
5b51c33d026602000178b5ec_20260228_144002_69a2fa65,"My daughter was accepted back into high school this week after being homeschooled for approximately six months. We tried to get her into the school of her choice because she was missing the social aspect of friends and sports, and we finally received our offer this week. I was elated and nervous for her, with my emotions being up and down. It was definitely what she wants.",congruence,0.0,0.1509433962264151,0.0,0.07547169811320754,0.8628656268119812,True,It helped because it's exactly what she is after.,"The situation helped my daughter by allowing her to re-engage with the social aspects of school life, including friends and sports, which she had been missing. It also aligned with her personal wishes, making it a supportive and positive development for her."
674c8549a9fd90b7c8dda9d3_20260226_180330_69a0881f,"I recently made a big transition from trading options in the stock market to trading futures. Just about two days ago, I blew my account. My goal is to switch to day trading full-time, and I switched to futures because they're supposed to be better and it's what prop firms would want me trading. After this happened, I felt very defeated. I had put so much time and effort into getting better, and all it took was me breaking my own rules for a second to lose over half of my account. I keep telling myself it's all part of the process. I know this, but it doesn't hurt any less for sure.",certainty,0.0,0.08333333333333333,0.0,0.08333333333333333,0.877409815788269,True,"Nothing went the way I wanted, but I hope that the loss will help me in the future.","Things did not go as I expected. I thought I was ready to switch to futures because they're supposed to be better and it's what prop firms would want me trading. However, I broke my own rules for a second and lost over half of my account, which was unexpected and devastating."
5cfebb94eafc4d001a62cbc9_20260221_200507_699a0ef8,My young son fell and cut his head. I immediately wanted to provide first aid to make sure he was okay and check that it wasn't a serious injury. The situation left me feeling guilty and worried.,control,0.0,0.08333333333333334,0.0,0.08333333333333334,0.8599569201469421,True,No as I did not catch him.,"I felt partially in control because I was able to provide first aid and assess the situation. However, I also felt a lack of control because I could not prevent the fall or the injury from happening in the first place."
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,"A dear friend of mine had a terrible accident where she fell and broke her neck in two places, along with her tailbone, hip, and pelvis. She also has COPD, and the hospital overdosed her twice, making her oxygen levels very bad and hard to control. I've been following her situation closely and talking to her, but she's not out of the woods yet. I sent her a bear that says 'I f...... love you,' which is a good support for her neck and cheers her up. It's tough because I live in Michigan and she lives in Oklahoma, so I can't see her in person. I have COPD too, so I guess I'm more worried about the pain she's going through and the unstable oxygen levels she's experiencing, along with her lungs filling up. I just don't want her to be in pain.",accountability,0.0,0.16901408450704225,0.0,0.08450704225352113,0.8566896915435791,True,I feel bad because her foot went asleep while we were talking on the phone for about 2 hours. She got up and fell.,"No one is directly responsible for this situation. It was an accident where she fell, and the complications arose from her pre-existing health conditions and the hospital's management of her care. There's no one to blame; it's just a tragic combination of circumstances."
5a5a6ed7f6c517000195029e_20260301_174848_69a47840,"My horse suddenly developed lameness, and I was really worried about what he had done. I needed to know what was wrong with him and how to make it better. The situation left me feeling sad and scared. I just needed him to get better.",certainty,0.0,0.1702127659574468,0.04444444444444444,0.0851063829787234,0.8680868148803711,True,"Yes, the vet arrived to see him and made a plan.","Things did not go as I expected. I had no idea what was wrong with him, and the situation was unexpected and worrying. I didn't know what to expect next, which added to my anxiety."
669677d986a5a20026bbf20e_20260228_134651_69a2ef80,"My daughter, who has had her struggles with mental health, made me feel very proud this week. She managed the demands of her new job while also looking after her boyfriend, who is ill. I was just observing how proud I was of her development. I felt very proud of her and wanted to convey this to her without being patronizing. It's important that she knows how proud I am of her, especially since she often feels her brother is 'more impressive.'",accountability,0.0,0.08695652173913045,0.04545454545454545,0.08695652173913045,0.8840219378471375,True,My daughter.,My daughter was most responsible for all of this. Her determination and effort to manage her new job and care for her boyfriend were her own choices and actions. I felt that she was in control of her situation and making the right decisions.
60e25008f1ecf0be303353bb_20260228_165505_69a31c2f,My first son moved out of the house and into his own place. I'm really excited for him because it's a great opportunity for growth. I'm feeling proud of him. I also need to make sure his mom and my other son are okay with the change and adapt well.,congruence,0.0,0.08823529411764705,0.0,0.08823529411764705,0.8654397130012512,True,It hurt a bit just that I will not see him as much but at the same time it helped knowing that our guidance as parents is paying off with a capable child turned adult.,"The situation helps by allowing my son to grow and develop independence. It also challenges me to support the family's adaptation to this change, ensuring everyone feels okay with the new arrangement."
5e8d0c7d40d8520da1903a86_20260223_204912_699cbc4b,"A person I know recently finished a big project at work that they had been working on for several weeks. At first, they felt stressed and overwhelmed because there were tight deadlines and unexpected problems. In the end, the project was successful, and their team appreciated their effort. The situation ended on a positive note, and they felt relieved and proud once it was over. Being around them, I felt their stress along the way. I was trying to provide a listening ear and give support when I could. I felt good in the end, seeing others' triumph is beautiful.",control,0.0,0.13333333333333336,0.0,0.08888888888888889,0.8675599098205566,True,"No, I was just a bystander.","I did not feel in control of the situation because I could not directly manage their work or the project's challenges. However, I felt I could offer emotional support and a listening ear, which was within my control."
643ebfff661435ecda5a3580_20260228_190856_69a33952_c5,"A dear friend of mine had a terrible accident where she fell and broke her neck in two places, along with her tailbone, hip, and pelvis. She also has COPD, and the hospital overdosed her twice, making her oxygen levels very bad and hard to control. I've been following her situation closely and talking to her, but she's not out of the woods yet. I sent her a bear that says 'I f...... love you,' which is a good support for her neck and cheers her up. It's tough because I live in Michigan and she lives in Oklahoma, so I can't see her in person. I have COPD too, so I guess I'm more worried about the pain she's going through and the unstable oxygen levels she's experiencing, along with her lungs filling up. I just don't want her to be in pain.",certainty,0.0,0.09090909090909091,0.0,0.09090909090909091,0.8600009083747864,True,Things look like they are on track now. I am breathing easier knowing that they are getting her stable.,"Things did not go as I expected. The severity of her injuries and the complications with her COPD were more than I anticipated. The hospital's management of her oxygen levels, leading to overdoses, was unexpected and has made her condition more unstable. It's clear that her recovery will be a long and difficult process, and I didn't expect the extent of the challenges she's facing."
57fa9d61bd8a970001fde2c6_20260301_180805_69a47e3e,"My friend was talking about the anniversary of the death of her husband, who was also my friend. It was nice to recall good memories rather than dwelling on their actual death. There was a slight feeling of sadness that they were no longer here, but it was also uplifting to reminisce and share our feelings. It was important to me that my friend felt comfortable talking about it with me.",accountability,0.0,0.09090909090909093,0.0,0.09090909090909093,0.8474201560020447,True,We were discussing a holiday that we have booked for this summer and my friend recalled memories of when she visited this destination with her husband.,No one was specifically responsible; it was just a natural occurrence of remembering someone who has passed away.
65c017a404cde4687fdad22e_20260220_233909_6998ee71,"My wife of 29 years recently passed away from Stage 1 small cell lung cancer. Now, I'm going through the house and sorting her things to give to family, friends, and charity. I'm focusing on her clothing and jewelry, making sure they go to people she loved and cherished during her lifetime. Doing this has finally given me a sense of relief, as I'm glad to be doing something other than grieving and being depressed all the time.",congruence,0.0,0.1509433962264151,0.019230769230769232,0.09433962264150943,0.8680288195610046,True,This helps myself in moving forward in my life and continuing on. It especially hurts knowing I am giving away pieces of her accumulated over the past 29 years with her.,"The situation helped me by providing a sense of purpose and a way to channel my grief into a constructive activity. It allowed me to honor my wife's memory by ensuring her belongings went to the right people. However, it also hurt me by forcing me to confront the reality of her passing and the finality of it all. It was a mix of helping me move forward and reminding me of the loss."
5cfebb94eafc4d001a62cbc9_20260221_200507_699a0ef8,My young son fell and cut his head. I immediately wanted to provide first aid to make sure he was okay and check that it wasn't a serious injury. The situation left me feeling guilty and worried.,accountability,0.0,0.09523809523809523,0.0,0.09523809523809523,0.8657090067863464,True,Me. He fell over while I was playing with him.,"I felt a sense of responsibility for my son's safety, but ultimately, accidents happen, and I did not feel that anyone was specifically to blame. It was just an unfortunate incident."
6533d0faaaf6d193fc2bf4f1_20260228_184753_69a336c1,I couldn't stop crying while remembering my brother. I was hoping he is at peace. The whole situation left me feeling sad and emotional. Listening to music and looking at pictures were significant aspects of this experience for me.,certainty,0.0,0.0975609756097561,0.0,0.0975609756097561,0.8655058741569519,True,"Yes, I understand it to be a natural process.","Things went as expected in the sense that I felt sad and emotional, but the intensity of my feelings was unexpected. I hoped he is at peace, which is a comforting thought."
