sample_id,situation,selected_low,dimension_coverage,bleu_first_person,bleu_third_person_mean_reference,bleu_third_person_best_reference,bleu_mean_reference_uplift,bleu_best_reference_uplift,rouge-1_first_person,rouge-1_third_person_mean_reference,rouge-1_third_person_best_reference,rouge-1_mean_reference_uplift,rouge-1_best_reference_uplift,rouge-2_first_person,rouge-2_third_person_mean_reference,rouge-2_third_person_best_reference,rouge-2_mean_reference_uplift,rouge-2_best_reference_uplift,rouge-l_first_person,rouge-l_third_person_mean_reference,rouge-l_third_person_best_reference,rouge-l_mean_reference_uplift,rouge-l_best_reference_uplift,bertscore_first_person,bertscore_third_person_mean_reference,bertscore_third_person_best_reference,bertscore_mean_reference_uplift,bertscore_best_reference_uplift
55d51a6b8ce09000127d4821_20260228_162502_69a314f1,"Someone I had been close with and talking to often just stopped responding to me. I really wanted them to reply or at least have someone around to keep me company and help me feel like I'm not inferior. I started to accept the situation, even though it still doesn't feel good. I realized that if someone doesn't want to talk to me anymore, there's no point in pursuing it. This person had been someone I talked to for a long time and had helped me through some stressful situations, so it was important to me.",False,1.0,0.0,0.0,0.0,0.0,0.0,0.18668211660109427,0.16878457358711801,0.24298995083380662,-0.017897543013976253,0.05630783423271235,0.03676767676767677,0.015346539130072894,0.030888260675494716,-0.021421137637603872,-0.005879416092182052,0.1474476668403287,0.12887257353535428,0.17252500659687137,-0.01857509330497442,0.025077339756542666,0.8744588851928711,0.8752728629112244,0.8840019822120666,0.0008139777183533425,0.009543097019195534
57fa9d61bd8a970001fde2c6_20260301_180805_69a47e3e,"My friend was talking about the anniversary of the death of her husband, who was also my friend. It was nice to recall good memories rather than dwelling on their actual death. There was a slight feeling of sadness that they were no longer here, but it was also uplifting to reminisce and share our feelings. It was important to me that my friend felt comfortable talking about it with me.",False,1.0,0.0,0.0049111587886368265,0.02455579394318413,0.0049111587886368265,0.02455579394318413,0.24029863352470443,0.15974617498263344,0.22825927779742045,-0.08055245854207099,-0.012039355727283985,0.05421357093089616,0.018872847162693804,0.06870041814965136,-0.03534072376820235,0.014486847218755199,0.16632465368886767,0.12089407968365991,0.16831067465480337,-0.045430574005207766,0.0019860209659356975,0.8793277502059936,0.8724488544464112,0.8848513841629029,-0.0068788957595824485,0.005523633956909246
59fc8a30087f2e0001ead66d_20260303_162019_69a70805,"I recently received a letter from the hospital, and I was shocked because it used words like 'urgent.' I only read the letter online and didn't get my physical copy, which made me panic. I needed an explanation because it was quite scary. The whole situation left me feeling disregarded and unimportant. It was important for me to express my emotions and upset, so I found the right person to speak to. They conducted investigations for me and then explained everything in a phone call.",False,1.0,0.0,0.0,0.0,0.0,0.0,0.22155131143366438,0.1934336703884814,0.28437393431685076,-0.028117641045182995,0.06282262288318638,0.00547945205479452,0.02614147748427667,0.06107545073062315,0.020662025429482152,0.05559599867582863,0.1398054494525083,0.14870605900070538,0.20888191652776417,0.008900609548197075,0.06907646707525586,0.8782493829727173,0.8800308704376221,0.8969050884246826,0.0017814874649048074,0.018655705451965376
5a764e848fe2dc000105739c_20260301_143615_69a44b6b,"I met up with some old friends from my past at a beerex and spent the evening chatting about the past and what we are doing today. We all got something positive from the evening and decided we would like to repeat it the following year. I felt rather good because not only did we all enjoy ourselves, I felt particularly good knowing I contributed in the past to their being friends today. I also had my brother there and my best friend who also knew these people, and they also enjoyed the evening.",True,1.0,0.0,0.010990161378190907,0.05495080689095454,0.010990161378190907,0.05495080689095454,0.1282975691722538,0.16818735404971916,0.26107194692100355,0.03988978487746536,0.13277437774874976,0.010256410256410256,0.030690913686048583,0.10079484425349088,0.020434503429638325,0.09053843399708061,0.10607534695003155,0.144448272856182,0.2268063974501266,0.03837292590615045,0.12073105050009504,0.8679573774337769,0.881279056072235,0.8949873685836792,0.013321678638458123,0.027029991149902344
5a8367b9190420000155ec2a_20260301_201036_69a49ba2,"I was awarded a promotion that I had put a lot of effort into achieving. I had been unsure whether I would get the promotion, so I was trying to secure it by impressing my boss and senior management. When I finally got the promotion, it left me feeling shocked, surprised, proud, and grateful. It reassured me that I was capable of achieving something which I previously had doubts about.",False,1.0,0.0,0.0,0.0,0.0,0.0,0.26239120002264915,0.23503751034430423,0.31254324626763835,-0.027353689678344922,0.0501520462449892,0.03692529763112092,0.0463847340405791,0.1011296623912723,0.009459436409458177,0.06420436476015137,0.1914295073749272,0.17400731245521905,0.2313461443705346,-0.017422194919708145,0.03991663699560741,0.8748777389526368,0.8815032196044923,0.892861258983612,0.006625480651855531,0.017983520030975253
5a9dac22f053610001721635_20260308_165256_69ada61f,"I work with children who have Special Educational Needs and Disabilities (SEND), and this week was particularly draining because I was very tired due to lack of sleep. I was trying to get the kids to focus, but I was struggling myself because of how exhausted I felt. The whole situation was stressful, and I really wanted to leave work, but I knew they would be short-staffed if I did.",False,1.0,0.0,0.0,0.0,0.0,0.0,0.15902680197762167,0.17117026452326023,0.2583667758667759,0.012143462545638556,0.09933997388915425,0.013559322033898305,0.02773224406116162,0.08116506055158382,0.014172922027263316,0.06760573851768552,0.13902680197762168,0.12497612674262051,0.1812203112203112,-0.01405067523500117,0.042193509242689525,0.8777718067169189,0.8728921842575075,0.882858157157898,-0.004879622459411426,0.005086350440979048
5aa04de4dbdb470001ef1dd5_20260220_224347_6998e1c7,"This week has been really tough for me. A close family member suddenly became seriously ill and was taken into the hospital, even though they were okay just a few days before. I was trying to get to them as quickly as I could, but I was working away from home, which made it difficult. Not being able to reach them as fast as I wanted left me feeling really upset. On top of that, it was important for me to get back to help their children during this time.",False,1.0,0.0,0.0,0.0,0.0,0.0,0.22124294509193523,0.13197386615586568,0.20681433775696073,-0.08926907893606956,-0.014428607334974503,0.019437340153452685,0.020132182014185963,0.034670433145009415,0.0006948418607332779,0.01523309299155673,0.14762244852764383,0.1097735529606401,0.18100020395102362,-0.03784889556700373,0.033377755423379785,0.8782952070236206,0.8717336225509644,0.8819898009300232,-0.006561584472656201,0.003694593906402588
5abbe13268b65b00018cf94b_20260227_172233_69a1d127,"I passed my final probation at work, which means I'm now an early career teacher and can move up the pay scale. This whole experience has left me feeling proud and relieved. It was really important to me to maintain my high standards throughout the probation period, and the pay rise is also a significant factor for me. Teaching is my passion, and I find immense joy in inspiring and educating my students. Being able to continue doing what I love while advancing in my career is incredibly fulfilling.",False,1.0,0.0,0.0025675679815559426,0.012837839907779713,0.0025675679815559426,0.012837839907779713,0.21712945146509038,0.2031423744786803,0.28454929668344303,-0.01398707698641008,0.06741984521835265,0.013846153846153847,0.042632217030505196,0.11083755078016197,0.028786063184351347,0.09699139693400813,0.17515981840699713,0.17163180010104767,0.24686034015512565,-0.003528018305949454,0.07170052174812852,0.8833508372306824,0.8826368069648742,0.8977961540222168,-0.0007140302658081854,0.01444531679153438
5b51c33d026602000178b5ec_20260228_144002_69a2fa65,"My daughter was accepted back into high school this week after being homeschooled for approximately six months. We tried to get her into the school of her choice because she was missing the social aspect of friends and sports, and we finally received our offer this week. I was elated and nervous for her, with my emotions being up and down. It was definitely what she wants.",True,1.0,0.0,0.0,0.0,0.0,0.0,0.19670568066153807,0.17693126570507606,0.26537183896739414,-0.01977441495646201,0.06866615830585607,0.01976470588235294,0.028070363609419103,0.07734815943368081,0.008305657727066162,0.05758345355132787,0.14539792409062358,0.14672192730076697,0.23217402953534888,0.001324003210143393,0.0867761054447253,0.8672366619110108,0.8771799492835999,0.8955495595932007,0.009943287372589094,0.02831289768218992
5b9ca13a06114100010699b8_20260221_211806_699a1e71,"I went to the doctor with my daughter because she's struggling to eat a variety of food. I was hoping the doctor would give us some advice or refer us to a specialist for eating disorders, so we could get some expert help. Instead, the doctor told her she needed to try harder and said if she didn't, she wouldn't have a partner, have kids, or a job. Even after I expressed my concern that she might have an eating disorder, he dismissed it. I was very angry and felt hopeless. I also worried about my daughter and how it might have affected her listening to what the doctor said. I hoped that after going to the doctor, my daughter would feel as though she had been listened to and that there was hope for her to improve, but she was left feeling deflated.",False,1.0,0.0,0.0032347118329812373,0.016173559164906186,0.0032347118329812373,0.016173559164906186,0.19117795083704175,0.20692609134802137,0.2619983246727433,0.015748140510979614,0.07082037383570156,0.03970079570433217,0.05380402970325071,0.07905996206322664,0.014103233998918538,0.03935916635889447,0.14676945529218258,0.16154345560022737,0.21016034763751285,0.014774000308044793,0.06339089234533027,0.8796254396438599,0.8799233102798463,0.8910537362098694,0.00029787063598640806,0.011428296566009521
